Clinician/Group Name,Phone,Address,Website,City/Area,Gender,Virtual Option,Insurance List,Specialty(ies) List,Ages Served,Therapeutic Approaches
KMP Atlanta,"(404) 308-1449","5871 Glenridge Dr.
Suite 220
Atlanta, Ga 30328",https://kmpatlanta.com/,Sandy Springs,"Female, Male",In Person Only,Does Not Accept Insurance; Statement Provided for Reimbursement,"Psychoeducational Testing, ADHD, Anxiety, Ander Management, Depression, Family Changes, Family Therapy & Parenting Support, Academic Support, Social Skill Development",All ages,
Kramer & Montiel Psychology,404-308-1449,"101 Bombay Lane
Roswell, GA 30076",https://kmpatlanta.com/,Roswell,"Female, Male",In Person Only,,"Learning Differences, Psychoeducational Testing, ADHD, Developmental (ASD), Academic Support",All Ages,CBT
"Lancelot, Cynthia",404-625-6404,"1774 Century Blvd, Suite B
Atlanta, GA 30345",http://cynthialancelot.com/,Atlanta,Female,In Person Only,,"ADHD, Learning Differences, Psychoeducational Testing",All Ages,
Learning Assessment Center,404-769-6022,"34 Lenox Pointe, NE
Atlanta, GA 30324",https://learningassessmentcenter.com/,Atlanta,Female,In Person Only,,"ADHD, Behavioral Challenges, Academic Support, Learning Differences, Psychoeducational Testing",All Ages,
Learning on the Log,(678) 561-7589  ,"230 Hammond Dr
Sandy Springs, GA 30328",https://www.learningonthelog.com/,Sandy Springs,Male,In Person Only,"Not Applicable (Recreational/Camp-Model Program, not insurance-based)","ADHD, Anxiety, Family Therapy & Parenting Support, Social Skill Development, Stress Management, Summer Camps & Programs",All ages,
"Leikam, Katie, LCSW", (404) 948-6186,"118 E Maple St, 
Decatur, GA 30030",https://katieleikam.com/,Decatur,Female,Virtual Only,,"Identity Development, Anxiety, ADHD, Developmental (ASD)",Teens and Adults,"Person Centered/Humanistic Therapy, Other/Eclectic"
"Lenahan, Chuck, LPC",(404) 905-1476,,generationsofgrowth.com,,Male,Virtual Only,"In-Network: Aetna, Ambetter, Oxford, Surest, Optum, Cigna, Medicaid, Centene, GEHA, Alliant, and many EAPs (via Generations of Growth)","Anxiety, Identity Development, Depression, Behavioral Challenges, Developmental (ASD), Family Changes, Grief & Loss, Social Skill Development, Self-Esteem",6 and older,"CBT, DBT, Family Systems Therapy, Person Centered/Humanistic Therapy"
"Lochridge, John, M.D.",770-436-8383,"3050 Atlanta Road, SE
Smyrna, GA  30080",https://www.docloch.com/,Smyrna,Male,In Person Only,,"Academic Support, Addiction/Substance Use, ADHD, Anxiety, Developmental (ASD), Eating Disorders/Body Image, OCD, Family Therapy & Parenting Support, Psychiatrist, Self-Esteem, Trauma or PTSD",All ages,
Lyles and Crawford,770-993-0051,"11111 Houze Road, Suite 320
Roswell, GA 30076",https://www.lylesandcrawford.com/biography-mark,Roswell,Male,In Person Only,Out of Network,"Behavioral Challenges, Psychiatrist, Family Changes, OCD, Family Therapy & Parenting Support, Psychoeducational Testing",All Ages,
Midtown Psychotherapy Associates,404-685-1600,"199 Armour Drive NE, Suite E
Atlanta, GA 30324",https://midtownpsychotherapy.org/,Midtown Atlanta,"Female, Male",In Person and Virtual Options,Out-of-Network Only; Superbill Provided; Sliding Scale Offered,"Academic Support, Addiction/Substance Use, ADHD, Ander Management, Anxiety, Behavioral Challenges, Depression, Developmental (ASD), Eating Disorders/Body Image, Family Changes, Family Therapy & Parenting Support, Grief & Loss, Learning Differences, Psychoeducational Testing, OCD, Self-Esteem, Self-Harm, Social Skill Development, Stress Management, Trauma or PTSD",All ages,"CBT, DBT, EMDR, Family Systems Therapy, Play Therapy, Art/Expressive Therapy, Emotionally Focused THerapy (EFT), Other/Eclectic"
Mindbrain Institute of Atlanta,404-692-7027,"2200 Century Parkway
Suite 200
Atlanta, GA 30345",https://mindbraininstitute.net/about/,Atlanta,Female,In Person and Virtual Options,,"Academic Support, Anxiety, Depression, Family Therapy & Parenting Support, Stress Management, Trauma or PTSD",Teens and Adults,"CBT, Family Systems Therapy, Mindfulness-Based Therapy, Solution-Focused Brief Therapy, Emotionally Focused THerapy (EFT), Other/Eclectic"
Mindset Psychology,404-793-0002,"3015 Piedmont Road
Atlanta, Georgia 30305",https://mindsetpsych.com/,Atlanta,"Female, Male",In Person Only,Various,"Academic Support, ADHD, Anxiety, Depression, Developmental (ASD), Eating Disorders/Body Image, Identity Development, Learning Differences, OCD, Family Therapy & Parenting Support, Psychiatrist, Psychoeducational Testing",All ages,"CBT, DBT, Mindfulness-Based Therapy, Motivational Interviewing, Person Centered/Humanistic Therapy, Family Systems Therapy, Other/Eclectic"
"Mitchell, Chante, Ph.D.",(404) 490-6821,"610 Kentucky Street
Scottdale, GA 30079",https://drchantemitchell.com/,Scottdale,Female,In Person and Virtual Options,"Aetna
Anthem
Blue Cross Blue Shield
Cigna
Optum
United Healthcare","ADHD, Anxiety, Depression, Grief & Loss, Psychoeducational Testing, Self-Esteem, Stress Management",5 and older,"CBT, Other/Eclectic"
Modern Path,(678) 802-9355,"3720 Chamblee Dunwoody Rd d2
Chamblee, GA 30341",https://www.modernpath.net/,Chamblee,"Female, Male, Non-Bianary",In Person and Virtual Options,Various,Identity Development,13 and older,"CBT, Acceptance & Committment Therapy (ACT), DBT, EMDR, Internal Family Systems (IFS), Emotionally Focused THerapy (EFT), Psychodynamic/Psychoanalytic, Art/Expressive Therapy, Other/Eclectic"
Monte Nido Clementine,855-257-5208,"124 Johnson Ferry Rd NE
Sandy Springs, GA 30328",https://www.montenido.com/locations/state/georgia?utm_source=google&utm_medium=cpc&utm_campaign=ga_mn_gen_pmax&gad_source=1&gclid=CjwKCAiA6t-6BhA3EiwAltRFGNx2SFv5mDBO4R2GhxXHXKYc9XXsqv7K0NWerc9_05FYnNIsNqQAdRoCLPMQAvD_BwE,Sandy Springs,"Female, Male",In Person and Virtual Options,Most Major Insurance Plans Accepted (verify per specific plan),"Eating Disorders/Body Image, ""IOP, PHP""",All ages,"CBT, DBT, Family Systems Therapy, Mindfulness-Based Therapy"
National Crisis Talk and Text Line,988,Call or text 24/7 to be connected with a crisis counselor,https://988lifeline.org/?utm_campaign=Vibrant-988GamingQ225&utm_source=Google&utm_medium=Search&gad_source=1&gad_campaignid=22522709209&gbraid=0AAAAA93Lt9nAZCEnJFo46V9TqLkhhhu7_&gclid=Cj0KCQjwrPHABhCIARIsAFW2XBP21i6pjIx0KBSD3m_VVxDKtfCxQroC4ccjMSUM41ZMzLjIdJijdbgaAh_jEALw_wcB,Nationwide,,Virtual Only,Not Applicable (Free Crisis Line),"Crisis Intervention, Bi-Lingual",All Ages,
National Suicide Prevention Hotline,800-273-8255(TALK),Call 24/7 to be connected with a crisis counselor,https://nationaltoolkit.csw.fsu.edu/resource/national-suicide-prevention-lifeline-1-800-273-talk-8255/,Nationwide,,Virtual Only,Not Applicable (Free Crisis Line),Crisis Intervention,All Ages,
New Beginnings Counseling Center,770-831-1799,"1585 OLD NORCROSS RD. SUITE 203
Lawrenceville, Ga 30046",https://counselinganew.com/,Lawrenceville,Female,In Person and Virtual Options,"In-Network: Aetna, Ambetter, Anthem BlueCross BlueShield, Cigna; Sliding Scale Available","Addiction/Substance Use, ADHD, Adoption, Anxiety, Behavioral Challenges, Family Changes, Family Therapy & Parenting Support, Grief & Loss, Ander Management, Depression, Crisis Intervention, Play Therapy",Teens and Adults,"Christian/Faith-Based Counseling, Play Therapy"
New Level Counseling,404-702-8474,"1229 Johnson Ferry Rd
Suite 204C
Marietta, GA 30068",https://www.newlevelcounseling.com/,Marietta,Female,In Person Only,Aetna,"ADHD, Adoption, Anxiety, Art Therapy, Depression, Eating Disorders/Body Image, Family Changes, Grief & Loss, Family Therapy & Parenting Support, Play Therapy, Self-Esteem, Social Skill Development, Stress Management, Trauma or PTSD",All Ages,"CBT, EMDR, Art/Expressive Therapy, Other/Eclectic"
"Newby, Wendy, Ph.D.",404-664-1011,"1525 Richard Stokes Dr, 
Decatur, GA 30033",www.levincenter.org,Decatur,Female,Virtual Only,"Not Applicable (Educational/Transition Consulting, not therapy)","Psychoeducational Testing, Learning Differences, ADHD",Teens and Adults,
"Noble, Betty Scott, Ph.D.",404-255-4206,"300 W Wieuca Rd NE, Building 2, Suite 314, 
Atlanta, GA 30342",,Atlanta/ Buckhead,Female,In Person Only,,"Psychoeducational Testing, Learning Differences, ADHD",All Ages,
North Fulton Psychiatric Care,770-442-1150,"1380 Upper Hembree Road
Roswell, GA 30076",http://www.drrickwiner.com/,Roswell,Male,In Person Only,Various,"ADHD, Anxiety, Depression, OCD, Psychiatrist",All Ages,
Northpoint Psychology,(678) 624-0310 ext. 0,"3534 Old Milton Parkway
Alpharetta, GA 30005",https://www.northpointpsychology.com/location.html,Alpharetta,Male,In Person Only,,"ADHD, Adoption, Ander Management, Anxiety, Developmental (ASD), Behavioral Challenges, Depression, Family Changes, Learning Differences, OCD, Family Therapy & Parenting Support, Psychoeducational Testing, Trauma or PTSD",All Ages,"CBT, DBT, Family Systems Therapy, Other/Eclectic"
"O'Toole, Kathleen, Ph.D.",(404) 721-2644,"2200 Century Parkway, Suite 435. 30345",pedneurocenter.com/kathleen-otoole/,,Female,In Person Only,Not Applicable (Neuropsychological Assessment Practice),Psychoeducational Testing,All Ages,
One Life Child Development Center,(404) 293-6947,"945 Memorial Drive SE, Suite 422
Atlanta, GA 30316",https://www.onelifecdc.com/,Atlanta,Female,In Person Only,"Aetna
Anthem Blue Cross Blue Shield","ADHD, Developmental (ASD), Learning Differences, Psychoeducational Testing, Social Skill Development",All Ages,CBT
Orion Psychotherapy,(404)500-6102,"1450 Ralph David Abernathy Blvd SW
S-308
Atlanta, GA 30310",https://orionpsychotherapy.org/,Atlanta,Non-Bianary,In Person and Virtual Options,Various,"Anxiety, Grief & Loss, Identity Development, Family Therapy & Parenting Support, Stress Management, Trauma or PTSD",Teens and Adults,"CBT, Art/Expressive Therapy, Person Centered/Humanistic Therapy, DBT, Other/Eclectic"
Parkaire Consultants, 770-578-1519,"4939 Lower Roswell Road
Suite C201
Marietta, GA 30068",https://parkaireconsultants.com/,Marietta,"Female, Male",In Person and Virtual Options,Out-of-Network; Reimbursement Paperwork Provided; Billing Varies by Individual Clinician,"Academic Support, Psychoeducational Testing, ADHD, Developmental (ASD), Learning Differences, Social Skill Development, Family Therapy & Parenting Support, OCD, Depression, Behavioral Challenges, Addiction/Substance Use, Eating Disorders/Body Image, Art Therapy, Play Therapy",All Ages,"Art/Expressive Therapy, CBT, Emotionally Focused THerapy (EFT), Family Systems Therapy, Play Therapy, Other/Eclectic"
Path Group of Atlanta,404.235.5982,"550 Pharr Rd NE, Suite 605
Atlanta, GA 30305",https://www.pathgroupatl.com/,Atlanta,"Female, Male",In Person and Virtual Options,Does Not Accept Insurance Directly; Monthly Superbills Provided (GA Residents Only),"Academic Support, Adoption, Anxiety, Depression, Developmental (ASD), Family Changes, Grief & Loss, Identity Development, OCD, Family Therapy & Parenting Support, Psychiatrist, Self-Esteem, Social Skill Development, Stress Management, Trauma or PTSD",All Ages,"Acceptance & Committment Therapy (ACT), CBT, DBT, Mindfulness-Based Therapy, Solution-Focused Brief Therapy, Psychodynamic/Psychoanalytic, Other/Eclectic"
Peachford Hospital,"770-455-3200","2151 Peachford Road,
Dunwoody, GA 30338",https://peachford.com/programs-and-services/children/,Dunwoody,"Female, Male",In Person Only,Accepts a wide variety of plans including TRICARE; verify directly as list changes,"""IOP, PHP"", Residential, Crisis Intervention, Depression, Anxiety, ADHD, Self-Harm, Addiction/Substance Use, Trauma or PTSD, Behavioral Challenges",All Ages,
Peachtree Comprehensive Health,404-351-2008,"3520 Piedmont Rd. NE
Suite 330 / Suite 350 / Suite 300
Atlanta, GA 30305",https://www.pchprofessionals.com/,Atlanta,"Female, Male",In Person and Virtual Options,Various,"Addiction/Substance Use, ADHD, Ander Management, Anxiety, Behavioral Challenges, Grief & Loss, OCD, Psychiatrist, Self-Harm, Trauma or PTSD, Play Therapy",All Ages,"CBT, DBT"
Peachtree Creative Counseling,678.222.2987,"1708 Peachtree Rd NW Ste 204
Atlanta, GA 30309",https://www.peachtreecreativecounseling.com/,Atlanta,Female,In Person Only,Various,"ADHD, Ander Management, Anxiety, Art Therapy, Depression, Family Changes, Grief & Loss, Family Therapy & Parenting Support, Play Therapy, Social Skill Development, Stress Management, Trauma or PTSD",All Ages,"CBT, Emotionally Focused THerapy (EFT), Art/Expressive Therapy, Family Systems Therapy, Internal Family Systems (IFS), Person Centered/Humanistic Therapy, Play Therapy"
Peachtree DBT Collective,(404) 890-0845,"3520 Piedmont Road, Suite 350 Atlanta, GA 30305",https://www.peachtreedbt.com/,,Female,In Person and Virtual Options,Varies (Part of Peachtree Comprehensive Health & Atlanta Counseling Collective),"ADHD, Ander Management, Anxiety, Behavioral Challenges, Depression, Eating Disorders/Body Image, Family Therapy & Parenting Support, Self-Esteem, Self-Harm, Social Skill Development, Stress Management, Trauma or PTSD",All Ages,"CBT, DBT, Mindfulness-Based Therapy"
Peachtree Psychology,678-381-1687,"800 Kennesaw Ave. NW
Suite 310
Marietta, GA 30060

555 Sun Valley Drive
Suite M-2
Roswell, GA 30076",https://peachtreepsychology.com/,"Roswell, Marietta","Female, Male",In Person and Virtual Options,"Varies by Clinician: Some Accept BCBS, Medicare, Cigna, UHC, CareSource, TRICARE, Optum; Most Self-Pay with Superbills; Sliding Scale Available","Academic Support, Addiction/Substance Use, ADHD, Ander Management, Anxiety, Behavioral Challenges, Depression, Eating Disorders/Body Image, Family Changes, Family Therapy & Parenting Support, Grief & Loss, Identity Development, Learning Differences, OCD, Self-Esteem, Self-Harm, Social Skill Development, Stress Management, Trauma or PTSD",All Ages,"Acceptance & Committment Therapy (ACT), CBT, DBT, EMDR, Internal Family Systems (IFS)"
Pediatric NeuroBehavioral Center of Peachtree City,(770)-629-6517,"16 Eastbrook Bend
Suite 102B
Peachtree City, GA  30269",https://diquattromegan.wixsite.com/therapy-center,Peachtree City,Female,In Person Only,Various,"Academic Support, ADHD, Behavioral Challenges, Developmental (ASD), Learning Differences, Family Therapy & Parenting Support, Psychoeducational Testing, Social Skill Development",All Ages,CBT
Perimeter DBT,404-836-0999,"1820 Independence Square, Suite A
Atlanta, Ga 30338",https://www.perimeterdbt.com/,Atlanta,"Female, Male",In Person and Virtual Options,Does Not Accept Insurance; Superbill Provided for Out-of-Network Reimbursement,"Anxiety, Depression, OCD, Self-Esteem, Family Therapy & Parenting Support, Self-Harm, Trauma or PTSD, Stress Management",Teens and Adults,"CBT, DBT, Emotionally Focused THerapy (EFT), EMDR"
"Phillips, Gail, LCSW",(404) 982-9010,"2734 N. Hills Drive, NE
Atlanta, GA 30305",http://www.gailphillips.net/,Atlanta,Female,In Person and Virtual Options,,"Addiction/Substance Use, Anxiety, Depression, Eating Disorders/Body Image, Family Therapy & Parenting Support",Teens and Adults,Psychodynamic/Psychoanalytic
"Plisco, Mary, PhD.",(404) 835-6135,"1900 The Exchange, Building 100
Atlanta, GA 30339",https://www.drmaryplisco.com/,Atlanta,Female,In Person Only,,"Anxiety, Depression, Ander Management, Stress Management, OCD, Trauma or PTSD, Social Skill Development",All Ages,CBT
"Post Sprunk, Trudy",(678) 740-3813,"4893 Lavista Road
Tucker, GA 30084",,Tucker,Female,In Person and Virtual Options,,"ADHD, Adoption, Anxiety, Behavioral Challenges, Depression, Family Changes, Family Therapy & Parenting Support, Grief & Loss, Identity Development, Learning Differences, OCD, Play Therapy, Self-Esteem, Stress Management, Trauma or PTSD",All Ages,"EMDR, Family Systems Therapy, Play Therapy, Trauma Focused Therapy, Art/Expressive Therapy"
Recovery DBT,678-336-6875,"1640 Powers Ferry Rd, Bldg 4, Suite 300
Marietta, GA 30067

1111 Cambridge Square, Suite 200
Alpharetta, GA 30009",https://recoverydbt.com/about/,"Marietta
Alpharetta","Male, Female",In Person and Virtual Options,"In-Network: Aetna, Cigna, BlueCross/BlueShield, Humana, UnitedHealthcare, Anthem, Magellan, ComPsych, UMR; Also Works with Out-of-Network Plans","Addiction/Substance Use, Ander Management, Anxiety, Behavioral Challenges, Depression, Eating Disorders/Body Image, OCD, Self-Esteem, Self-Harm, Social Skill Development, Trauma or PTSD, ""IOP, PHP""",Teem,DBT
"Roche, Elise, LPC",(762) 499-5920,"215 Church St, Suite 106
Decatur, Ga 30030",https://goodmesstherapy.com/,Decatur,Female,In Person Only,In-Network: Aetna and several United Healthcare/Optum-affiliated plans,"Art Therapy, ADHD, Anxiety, Depression, OCD, Identity Development",Teens and Adults,"Acceptance & Committment Therapy (ACT), Art/Expressive Therapy, CBT, DBT"
Rogers Behavioral Health,470-622-2400,"50 Glenlake Parkway Northeast
Suite 200
Sandy Springs, GA 30328",https://rogersbh.org/locations/atlanta-ga,Sandy Springs,"Female, Male",In Person and Virtual Options,"Aetna, Anthem, BCBS, Cigna, Humana, Oscar, UnitedHealthcare, Optum, and others; sliding scale available","Anxiety, Depression, Trauma or PTSD, ""IOP, PHP"", OCD, Residential, Crisis Intervention",8 and older,"CBT, Acceptance & Committment Therapy (ACT)"
"Rogers, Sabrina, Ed.S.",(404) 941-6088,"3350 Riverwood Pkwy, Suite 1900
Atlanta, GA 30339",horizonspac.com,Atlanta,Female,In Person Only,Not Applicable (Psychoeducational Assessment Practice),Psychoeducational Testing,All Ages,
Sandy Springs Psychological Center,(404) 255-1032,"6000 Lake Forrest Drive NW
Suite 575
Sandy Springs, GA 30328",https://judywolmanphd.com/,Sandy Springs,Female,In Person Only,Various,"ADHD, Learning Differences, Family Therapy & Parenting Support, Psychoeducational Testing, Self-Esteem",All Ages,CBT
Sea Change Psychotherapy,404-448-2080,"50 Lenox Pointe NE, Suite B
Atlanta, GA 30324",https://seachangepsychotherapy.com/,Buckhead,Female,In Person and Virtual Options,Out-of-Network Only; Superbill Provided,"Anxiety, Academic Support, ADHD, Behavioral Challenges, Depression, Eating Disorders/Body Image, Family Changes, Family Therapy & Parenting Support, Grief & Loss, Identity Development, Learning Differences, Self-Esteem, Self-Harm, Stress Management, Trauma or PTSD",Teens and Adults,"EMDR, Emotionally Focused THerapy (EFT), Internal Family Systems (IFS), Attachment-Based Therapy, DBT"
"Silverman, Amy, Ph.D.",404-382-8121,"5871 Glenridge Dr. Suite 220
Atlanta, GA 30328",dramysilverman.com,Sandy Springs,Female,In Person and Virtual Options,Not Applicable (Psychoeducational Assessment Practice),Psychoeducational Testing,All Ages,
"Smith Graham, Kimbrell",(404) 593-0892,,https://www.supportedparent.com/,Buckhead,Female,Virtual Only,"Not Applicable (Educational/School Placement Consulting, not therapy)","Family Therapy & Parenting Support, Identity Development, Academic Support",Adults,
"Smith, Paul, LPC",(404) 495-5761,"5180 Roswell Rd Suite 106
Atlanta, GA 30342",https://www.psychologytoday.com/us/therapists/paul-smith-atlanta-ga/358734,Atlanta,Male,In Person and Virtual Options,,"Academic Support, ADHD, Anxiety, Behavioral Challenges, Depression, Developmental (ASD), Family Changes, Family Therapy & Parenting Support, Grief & Loss, Identity Development, Learning Differences, Self-Esteem, Self-Harm, Stress Management",Teens and Adults,"CBT, Internal Family Systems (IFS), Motivational Interviewing, Person Centered/Humanistic Therapy, Psychodynamic/Psychoanalytic, Other/Eclectic"
"Steurer, Loretta, LCSW",770-449-5759,"6045 Atlantic Blvd. 
Norcross, GA 30071",,Norcross,Female,In Person Only,,"Anxiety, ADHD, Depression",All Ages,Family Systems Therapy
Stone Cottage Counseling,404-490-1865," 2033 Hosea Williams Dr, Suite 2, Atlanta, GA 30317",http://stonecottagecounseling.com/about/,Kirkwood,Female,In Person and Virtual Options,Various,"Anxiety, Depression, Self-Harm",Teens and Adults,Mindfulness-Based Therapy
"Stuart, Leslie, PhD. & Associates",404-943-9494,"1100 Johnson Ferry Rd., suite 203
Atlanta, GA 30342",https://www.drlesliestuart.com/,Atlanta,Female,In Person Only,Not Applicable (Primarily Psychological Testing/Assessment Practice),"ADHD, Learning Differences, Psychoeducational Testing",All Ages,
"Sturgess, David, LPC",678-501-7684 ,"376 Powder Springs St. Ste. 140 
Marietta, GA 30064",https://www.foundrycounseling.com/,Marietta,"Male, Female",In Person and Virtual Options,Out-of-Network Only; Superbill Provided,"Addiction/Substance Use, Anxiety, Depression, Trauma or PTSD, Stress Management, Grief & Loss",Teens and Adults,"CBT, DBT, Trauma Focused Therapy"
"Swann, Stephanie, PhD., LCSW",(404) 906-1862,"675 Seminole Ave NE Ste 210
Atlanta, GA 30307",https://www.stephanieswann.com/,Atlanta,Female,In Person and Virtual Options,,"Trauma or PTSD, Anxiety, Depression, Identity Development, Self-Harm",Teens and Adults,Mindfulness-Based Therapy
"Terry, Lisa, LPC",770-645-1733,"11795 Northfall Lane, Suite 601
Alpharetta, GA 30009",https://lisaterry.com/,Alpharetta,Female,In Person Only,,"Anxiety, OCD, Identity Development, Family Changes, Family Therapy & Parenting Support",Teens and Adults,CBT
Text Crisis Line,741741,Text 24/7 to be connected with a crisis counselor,https://www.crisistextline.org/,Nationwide,"Female, Male",Virtual Only,Not Applicable (Free Crisis Line),"Crisis Intervention, Bi-Lingual",All Ages,
The Atlanta Psychology Group,404-875-2050,"2 Ameris Center, 3500 Piedmont Road, Suite 740
Atlanta, GA 30305",https://atlantapsychgroup.com/,Atlanta,Female,In Person Only,,"Academic Support, ADHD, Anxiety, Depression, Behavioral Challenges, Psychoeducational Testing, Social Skill Development",All Ages,
The Berman Center,770-336-7444,"1200 Ashwood Parkway Suite 400
Atlanta, GA 30338",https://bermancenteratl.com/,Dunwoody,"Female, Male",In Person Only,"Most major commercial insurance including Aetna, BCBS; verification of benefits offered","""IOP, PHP"", Trauma or PTSD, Anxiety, Depression, Crisis Intervention, Self-Harm, Grief & Loss",Teens and Adults,"CBT, DBT, Art/Expressive Therapy"
The Clinic at Virtually Better,(404) 634-3400,"235 East Ponce de Leon Ave, Suite 200
Decatur, Georgia 30030 ",https://www.virtuallybetter.com/clinic/,Decatur,"Female, Male",In Person and Virtual Options,,"Anxiety, Depression, Behavioral Challenges, Eating Disorders/Body Image, Ander Management, Social Skill Development, Stress Management, Self-Esteem, Developmental (ASD), Family Changes, Family Therapy & Parenting Support, Trauma or PTSD, ADHD",All Ages,"CBT, Other/Eclectic"
The Emily Program,470-336-3428,"41 Perimeter Center East, Suite 250
Dunwoody, GA 30346",https://emilyprogram.com/,Dunwoody,"Female, Male",In Person and Virtual Options,"Aetna, Cigna, Humana, Medicaid, United Healthcare",Eating Disorders/Body Image,All Ages,"CBT, DBT, Family Systems Therapy"
The Latoria Group,470-737-0055,"4333 Lynburn Drive
Tucker, GA 30084",https://latoria.com/,Tucker,Female,In Person and Virtual Options,"Aetna, BlueCross/BlueShield, Cigna, Humana, United Healthcare","ADHD, Addiction/Substance Use, Academic Support, Ander Management, Anxiety, OCD, Stress Management, Social Skill Development, Developmental (ASD), Learning Differences, Family Changes, Behavioral Challenges, Grief & Loss, Family Therapy & Parenting Support, Self-Harm, Trauma or PTSD, Art Therapy, Play Therapy",All Ages,"CBT, DBT, EMDR, Family Systems Therapy, Play Therapy, Somatic Therapy"
The Launch Pad,(404) 939-7712,"1411 Dutch Valley Place NE
Atlanta, GA 30324",https://www.thelaunchpadatl.com/,"Midtown
Atlanta",Male,In Person and Virtual Options,,"Academic Support, Family Therapy & Parenting Support, Self-Esteem, Social Skill Development, Stress Management",Teens and Adults,
The Parent Child Practice,(678) 649-1940,"2751 Buford Hwy NE, Ste. 410
Atlanta, GA 30324",https://www.parentchildpractice.com/,Atlanta,Female,In Person Only,Blue Cross Blue Shield,"ADHD, Anxiety, Depression, Developmental (ASD), Learning Differences, Family Therapy & Parenting Support, Psychoeducational Testing",All Ages,
The Renfrew Center,800-Renfrew,"50 Glenlake Parkway
Suite 120
Atlanta, GA 30328",https://renfrewcenter.com/,Atlanta,Female,In Person and Virtual Options,"Aetna, BlueCross/BlueShield, Cigna, Humana, Various","Addiction/Substance Use, Art Therapy, Eating Disorders/Body Image, ""IOP, PHP"", Self-Harm, Trauma or PTSD",12 and older,"CBT, DBT, Family Systems Therapy, Art/Expressive Therapy, Other/Eclectic"
The Summit Counseling Center,(678) 893-5300,Multiple,https://summitcounseling.org/,"Dunwoody
Johns Creek
Milton
Roswell
Sugar Hill","Female, Male",In Person and Virtual Options,Various,"Addiction/Substance Use, ADHD, Adoption, Ander Management, Behavioral Challenges, Depression, Developmental (ASD), Eating Disorders/Body Image, Grief & Loss, Family Changes, Identity Development, Learning Differences, Family Therapy & Parenting Support, Self-Esteem, Self-Harm, Social Skill Development, Trauma or PTSD",All Ages,"Acceptance & Committment Therapy (ACT), CBT, DBT, EMDR, Family Systems Therapy, Motivational Interviewing, Play Therapy, Trauma Focused Therapy"
"Thomas, Brian, M.D.",404-351-2008,"3520 Piedmont Rd NE, Suite 330 / 350 / 300
Atlanta, GA 30305",pchprofessionals.com,Atlanta/ Buckhead,Male,In Person and Virtual Options,Varies (Part of Peachtree Comprehensive Health),"Psychoeducational Testing, Psychiatrist",All Ages,
"Uchida, Cristiane, LPC",770-338-3712,"555 North Point Center E, 4th floor
Alpharetta GA 30022 ",https://www.uchidacounseling.com/,Alpharetta,Female,In Person and Virtual Options,,"Anxiety, Family Changes, Family Therapy & Parenting Support, Play Therapy, Social Skill Development, Stress Management, Trauma or PTSD, Bi-Lingual",All Ages,Play Therapy
Understanding Minds,317-989-9799,"3350 Northlake Parkway Suite B 
Atlanta, GA 30345",https://understandingmindsatl.com/,Atlanta,"Male, Female",In Person Only,Not Applicable (Psychoeducational/Neuropsychological Assessment Practice),"Academic Support, ADHD, Developmental (ASD), Learning Differences, Psychoeducational Testing",All Ages,
University of Georgia: School Psychology Clinic,706-542-4265,"302 Aderhold Hall, 110 Carlton Street
Athens, GA 30602",https://psychologyclinic.gsu.edu/,Athens,"Female, Male",In Person and Virtual Options,,"Academic Support, ADHD, Behavioral Challenges, Learning Differences, Bi-Lingual, Psychoeducational Testing, Social Skill Development",,"DBT, Other/Eclectic"
University of Georgial: Regent Center for Learning Disorders,(706) 542-4589,"331 Milledge Hall
University of Georgia
Athens, GA   30602",https://www.rcld.uga.edu/,Athens,,In Person Only,"Not Applicable (University Assessment Center, restricted to USG students)",Psychoeducational Testing,Teens and Adults,
"Webb, Judi-Lee, PhD",404.861.2275,"3330 Cumberland Boulevard, Suite 175
Atlanta, GA  30339",https://www.psychologicalsolutionsatl.com/,,Female,In Person and Virtual Options,,"Anxiety, Depression, Eating Disorders/Body Image, Family Changes, Family Therapy & Parenting Support, Grief & Loss, Identity Development, Self-Esteem, Stress Management, Trauma or PTSD",All Ages,
Wiz Kids Assessment,404-609-4949,"6111 Peachtree Dunwoody Road, Building F, Suite 203
Atlanta, GA 30328",https://www.wizkidzassessments.com/drbucovetsky,Atlanta,Male,In Person Only,,"ADHD, Anxiety, Depression, Learning Differences, Psychoeducational Testing",All Ages,
"Wolman, Judy, Ph.D.",404-255-1032,"Sandy Springs Psychological Center, P.C.
6000 Lake Forrest Drive NW, Suite 575
Sandy Springs (Atlanta), GA 30328",www.judywolmanphd.com,Sandy Springs,Female,In Person Only,,"Psychoeducational Testing, Learning Differences, ADHD",All Ages,CBT
Wonders & Worries,512-329-5757,,https://wondersandworries.org/,Atlanta,Female,In Person and Virtual Options,Not Applicable (Free Nonprofit Service),"Family Changes, Grief & Loss",6-18,
Youth LGTBQ+ Help Center,800-246-7743,Call 24/7 to be connected with a crisis counselor,https://lgbthotline.org/,Nationwide,,,Not Applicable (Free Crisis/Help Line),Crisis Intervention,All Ages,
